2026-02-24T14:14:36.653Z | INFO | GET /api/users/profile | Status: 200 | Time: 7ms | Result: ALLOWED | CacheStatus: HIT
2026-02-24T14:40:42.050Z | INFO | GET /api/auth/health | Status: 200 | Time: 65ms | Result: ALLOWED | CacheStatus: MISS
2026-02-24T14:40:42.056Z | INFO | GET /api/auth/health | Status: 200 | Time: 72ms | Result: ALLOWED | CacheStatus: MISS
2026-02-24T14:40:42.070Z | INFO | GET /api/auth/health | Status: 200 | Time: 83ms | Result: ALLOWED | CacheStatus: MISS
2026-02-24T14:40:42.071Z | INFO | GET /api/auth/health | Status: 200 | Time: 82ms | Result: ALLOWED | CacheStatus: MISS
2026-02-24T14:40:42.073Z | INFO | GET /api/auth/health | Status: 200 | Time: 82ms | Result: ALLOWED | CacheStatus: MISS
2026-02-24T14:40:42.074Z | INFO | GET /api/auth/health | Status: 200 | Time: 78ms | Result: ALLOWED | CacheStatus: MISS
2026-02-24T14:40:42.075Z | INFO | GET /api/auth/health | Status: 200 | Time: 78ms | Result: ALLOWED | CacheStatus: MISS
2026-02-24T14:40:42.094Z | INFO | GET /api/auth/health | Status: 200 | Time: 31ms | Result: ALLOWED | CacheStatus: HIT
2026-02-24T14:40:42.105Z | INFO | GET /api/auth/health | Status: 200 | Time: 28ms | Result: ALLOWED | CacheStatus: HIT
2026-02-24T14:40:42.112Z | ERROR | GET /api/auth/health | Status: 429 | Time: 4ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.114Z | ERROR | GET /api/auth/health | Status: 429 | Time: 6ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.123Z | INFO | GET /api/auth/health | Status: 200 | Time: 26ms | Result: ALLOWED | CacheStatus: HIT
2026-02-24T14:40:42.132Z | ERROR | GET /api/auth/health | Status: 429 | Time: 16ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.133Z | ERROR | GET /api/auth/health | Status: 429 | Time: 16ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.134Z | ERROR | GET /api/auth/health | Status: 429 | Time: 13ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.136Z | ERROR | GET /api/auth/health | Status: 429 | Time: 14ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.139Z | ERROR | GET /api/auth/health | Status: 429 | Time: 14ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.158Z | ERROR | GET /api/auth/health | Status: 429 | Time: 18ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.160Z | ERROR | GET /api/auth/health | Status: 429 | Time: 19ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.160Z | ERROR | GET /api/auth/health | Status: 429 | Time: 16ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.161Z | ERROR | GET /api/auth/health | Status: 429 | Time: 16ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.161Z | ERROR | GET /api/auth/health | Status: 429 | Time: 16ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.161Z | ERROR | GET /api/auth/health | Status: 429 | Time: 15ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.162Z | ERROR | GET /api/auth/health | Status: 429 | Time: 16ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.162Z | ERROR | GET /api/auth/health | Status: 429 | Time: 15ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.180Z | ERROR | GET /api/auth/health | Status: 429 | Time: 16ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.181Z | ERROR | GET /api/auth/health | Status: 429 | Time: 14ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.182Z | ERROR | GET /api/auth/health | Status: 429 | Time: 14ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.183Z | ERROR | GET /api/auth/health | Status: 429 | Time: 13ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.183Z | ERROR | GET /api/auth/health | Status: 429 | Time: 14ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.183Z | ERROR | GET /api/auth/health | Status: 429 | Time: 14ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.183Z | ERROR | GET /api/auth/health | Status: 429 | Time: 14ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.185Z | ERROR | GET /api/auth/health | Status: 429 | Time: 14ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.186Z | ERROR | GET /api/auth/health | Status: 429 | Time: 15ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.186Z | ERROR | GET /api/auth/health | Status: 429 | Time: 16ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.211Z | ERROR | GET /api/auth/health | Status: 429 | Time: 24ms | Result: BLOCKED | CacheStatus: NONE
2026-02-24T14:40:42.213Z | ERROR | GET /api/auth/health | Status: 429 | Time: 23ms | Result: BLOCKED | CacheStatus: NONE
